,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
26,14DJN0155L,MATUTINO,JAVIER URIBE,DOCTOR OLIVA 20,1,AHUALULCO DE MERCADO,AHUALULCO DE MERCADO (ZONA CENTRO),3,AHUALULCO DE MERCADO,FEDERALIZADO,PREESCOLAR,GENERAL,6,16,22,16,24,40,23,26,49,0,0,0,0,0,0,0,0,0,45,66,111,4,4,0,1,0,0,1,0,1,7
27,14DJN0156K,MATUTINO,J JESUS SANCHEZ GUERRERO,PROLONGACION JUAREZ 45,1,TLAJOMULCO DE ZUIGA,0,97,TLAJOMULCO DE ZUIGA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,46,54,100,61,60,121,0,0,0,0,0,0,0,0,0,107,114,221,7,7,1,1,0,0,3,0,1,13
28,14DJN0157J,MATUTINO,ALFONSO GONZALEZ LOPEZ,RAMON CORONA 44,1,VILLA HIDALGO,0,116,VILLA HIDALGO,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,30,37,67,30,40,70,0,0,0,0,0,0,0,0,0,60,77,137,5,5,0,0,0,0,1,0,1,7
29,14DJN0158I,MATUTINO,SALVADOR DIAZ MIRON,HIDALGO 9,1,ZAPOTILTIC,HUESCALAPA,121,ZAPOTILTIC,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,39,44,83,37,29,66,0,0,0,0,0,0,0,0,0,76,73,149,5,5,1,1,0,0,1,0,1,9
30,14DJN0159H,MATUTINO,EMILIANO ZAPATA,CUAUHTEMOC 60,17,EL ZAPOTE (SAN MIGUEL DEL ZAPOTE),0,89,TECHALUTA DE MONTENEGRO,FEDERALIZADO,PREESCOLAR,GENERAL,6,2,8,11,8,19,9,6,15,0,0,0,0,0,0,0,0,0,26,16,42,2,2,0,0,0,0,0,1,0,2
31,14DJN0160X,MATUTINO,FEDERICO FROEBEL,VENUSTIANO CARRANZA 36,1,MAZAMITLA,CANOITAS,59,MAZAMITLA,FEDERALIZADO,PREESCOLAR,GENERAL,15,24,39,35,36,71,32,38,70,0,0,0,0,0,0,0,0,0,82,98,180,6,6,1,0,0,0,1,0,1,9
32,14DJN0161W,CONTINUO (TIEMPO COMPLETO),SEGISMUNDO FREUD,CONSTITUCION 100,1,TONALA,SANTA CRUZ DE LAS HUERTAS,101,TONALA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,43,37,80,38,37,75,0,0,0,0,0,0,0,0,0,81,74,155,6,6,1,0,0,0,4,1,0,11
33,14DJN0162V,MATUTINO,MANUEL M PONCE,EUTIMIO PINZON 984,1,GUADALAJARA,RANCHO NUEVO,39,GUADALAJARA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,47,45,92,44,44,88,0,0,0,0,0,0,0,0,0,91,89,180,6,6,1,1,0,0,2,0,1,11
34,14DJN0163U,MATUTINO,FEDERICO FROEBEL,SAN ANTONIO 111,1,ZAPOPAN,LAS FUENTES,120,ZAPOPAN,FEDERALIZADO,PREESCOLAR,GENERAL,22,12,34,31,25,56,19,32,51,0,0,0,0,0,0,0,0,0,72,69,141,6,6,1,1,0,0,2,0,1,11
35,14DJN0164T,MATUTINO,PRIMAVERA,CUITLAHUAC 99,1,LA HUERTA,0,43,LA HUERTA,FEDERALIZADO,PREESCOLAR,GENERAL,11,14,25,36,24,60,33,32,65,0,0,0,0,0,0,0,0,0,80,70,150,6,6,0,1,0,0,1,1,0,8
36,14DJN0165S,MATUTINO,RAMON LOPEZ VELARDE,GLADIOLA 15,1,ZAPOTILTIC,0,121,ZAPOTILTIC,FEDERALIZADO,PREESCOLAR,GENERAL,8,10,18,20,23,43,35,24,59,0,0,0,0,0,0,0,0,0,63,57,120,5,5,1,0,0,0,1,0,1,8
37,14DJN0166R,MATUTINO,JOSE ANTONIO TORRES,JULIO C SOLORZANO 10,1,AMECA,AMECA (ZONA CENTRO),6,AMECA,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,29,33,62,15,33,48,0,0,0,0,0,0,0,0,0,44,66,110,4,4,1,0,0,0,1,1,0,6
38,14DJN0167Q,MATUTINO,AO INTERNACIONAL DEL NIO,MARIANO AZUELA 12,1,OJUELOS DE JALISCO,0,64,OJUELOS DE JALISCO,FEDERALIZADO,PREESCOLAR,GENERAL,0,0,0,35,29,64,54,40,94,0,0,0,0,0,0,0,0,0,89,69,158,5,5,1,1,0,0,1,0,1,9
39,14DJN0168P,MATUTINO,DOLORES IBAEZ,INDEPENDENCIA 35,1,EJUTLA,0,34,EJUTLA,FEDERALIZADO,PREESCOLAR,GENERAL,8,10,18,17,16,33,16,9,25,0,0,0,0,0,0,0,0,0,41,35,76,3,3,0,1,0,0,1,1,0,5
